Job ID,Agency,Posting Type,Total Positions,Title Classification,Level,Job Category,Full-Time/Part-Time indicator,Career Level,Salary Range From,Salary Range To,Salary Frequency,Work Location,Hours/Shift,Residency Requirement,Posting Date,Job Postings Year
574848,DEPARTMENT OF TRANSPORTATION,External,6,Competitive-1,M1,Building Operations & Maintenance,F,Experienced (non-manager),51317,67044,Annual,Queens,40 hours per week,Hybrid,5/11/23,2023
541940,FIRE DEPARTMENT,External,1,Competitive-1,M1,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),58700,161534,Annual,Brooklyn,TBD,Not required,8/10/22,2022
596692,DEPARTMENT FOR THE AGING,Internal,1,Non-Competitive-5,M1,Constituent Services & Community Programs,F,Experienced (non-manager),59116,67983,Annual,Lafayette Street,TBD,Hybrid,10/13/23,2023
553899,HRA/DEPT OF SOCIAL SERVICES,Internal,1,Competitive-1,M1,Administration & Human Resources,F,Experienced (non-manager),58695,67499,Annual,Vanderbilt Avenue,40 hours per week,Hybrid,10/3/22,2022
607092,DEPARTMENT OF CITY PLANNING,Internal,1,Competitive-1,M1,"Technology, Data & Innovation",F,Experienced (non-manager),115854,130701,Annual,Broadway,TBD,Not required,10/6/23,2023
561640,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Competitive-1,M1,Health,F,Experienced (non-manager),47155,54228,Annual,28th Street,TBD,Hybrid,11/27/23,2023
593608,DEPT. OF HOMELESS SERVICES,External,1,Non-Competitive-5,M1,Administration & Human Resources,F,Experienced (non-manager),59116,91768,Annual,Brooklyn,TBD,Hybrid,8/2/23,2023
608327,OFFICE OF RACIAL EQUITY,Internal,1,Pending Classification-2,M0,Administration & Human Resources,F,Manager,58700,85000,Annual,Broadway,TBD,New York City residency is required.,11/22/23,2023
611805,BRONX DISTRICT ATTORNEY,Internal,70,Non-Competitive-5,M1,Legal Affairs,F,Experienced (non-manager),51500,51500,Annual,Bronx,TBD,Not required,10/17/23,2023
604892,NYC HOUSING AUTHORITY,External,1,Non-Competitive-5,M1,Constituent Services & Community Programs,F,Experienced (non-manager),59116,91768,Annual,REES,TBD,Not required,9/21/23,2023
593164,DEPT OF PARKS & RECREATION,External,6,Competitive-1,M1,Building Operations & Maintenance,F,Experienced (non-manager),65014,65014,Annual,105 Street,TBD,Not required,7/14/23,2023
616504,HOUSING PRESERVATION & DVLPMNT,External,2,Non-Competitive-5,1,Constituent Services & Community Programs,F,Entry-Level,48170,48170,Annual,Gold Street,TBD,Hybrid,11/17/23,2023
593810,DEPT OF ENVIRONMENT PROTECTION,External,4,Competitive-1,1,"Engineering, Architecture, & Planning",F,Entry-Level,56181,68034,Annual,Harding Expressway,TBD,Not required,8/13/23,2023
598718,DEPT OF HEALTH/MENTAL HYGIENE,External,1,Non-Competitive-5,M1,Constituent Services & Community Programs,F,Experienced (non-manager),63952,75504,Annual,28th Street,TBD,Hybrid,8/15/23,2023
585626,DEPT OF YOUTH & COMM DEV SRVS,Internal,1,Competitive-1,M1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),60193,90704,Annual,William Street,35 Hours Per Week,Hybrid,6/22/23,2023
526019,FIRE DEPARTMENT,Internal,10,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),57078,85646,Annual,Brooklyn,TBD,Not required,5/23/23,2023
592921,DEPARTMENT OF TRANSPORTATION,Internal,1,Competitive-1,M1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),58700,192152,Annual,Water Street,35 Hours Per Week,Hybrid,7/17/23,2023
598917,CIVILIAN COMPLAINT REVIEW BD,External,1,Non-Competitive-5,M1,Legal Affairs,F,Experienced (non-manager),62397,75760,Annual,Church Street,TBD,Hybrid,8/29/23,2023
609216,CONSUMER AND WORKER PROTECTION,External,1,Competitive-1,M1,Administration & Human Resources,F,Experienced (non-manager),43728,60000,Annual,Broadway,TBD,Hybrid,10/30/23,2023
599970,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Non-Competitive-5,M1,Constituent Services & Community Programs,F,Experienced (non-manager),82506,94882,Annual,28th Street,TBD,Hybrid,9/22/23,2023
575602,HRA/DEPT OF SOCIAL SERVICES,Internal,1,Competitive-1,M1,"Technology, Data & Innovation",F,Experienced (non-manager),92194,106023,Annual,Metrotech,35 Hours Per Week,Not required,8/9/23,2023
596610,HRA/DEPT OF SOCIAL SERVICES,Internal,6,Competitive-1,M1,Social Services,F,Experienced (non-manager),45329,52128,Annual,Staten Islands,TBD,Not required,8/4/23,2023
609271,HOUSING PRESERVATION & DVLPMNT,Internal,1,Non-Competitive-5,M1,Constituent Services & Community Programs,F,Experienced (non-manager),65249,65249,Annual,Gold Street,TBD,Hybrid,10/2/23,2023
577987,DEPARTMENT OF TRANSPORTATION,External,2,Non-Competitive-5,M1,Constituent Services & Community Programs,F,Experienced (non-manager),54100,83981,Annual,Water Street,35 Hours Per Week,Hybrid,3/21/23,2023
585431,DEPT OF YOUTH & COMM DEV SRVS,External,1,Non-Competitive-5,M1,Legal Affairs,F,Experienced (non-manager),79620,117541,Annual,Lafayette Street,35 Hours Per Week,Not required,10/24/23,2023
600436,OFFICE OF MANAGEMENT & BUDGET,Internal,1,Pending Classification-2,1,"Finance, Accounting, & Procurement",F,Entry-Level,51550,73806,Annual,Greenwich Street,TBD,Hybrid,8/23/23,2023
614217,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Non-Competitive-5,M1,Constituent Services & Community Programs,F,Experienced (non-manager),92301,114637,Annual,28th Street,TBD,Hybrid,10/31/23,2023
602263,DEPARTMENT OF TRANSPORTATION,Internal,5,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),64192,68789,Annual,Bay Street,40 hours per week,Not required,10/27/23,2023
586985,OFFICE OF EMERGENCY MANAGEMENT,Internal,1,Pending Classification-2,M1,"Technology, Data & Innovation",F,Experienced (non-manager),57000,76000,Annual,Cadman Plaza,40 hours per week,Hybrid,8/11/23,2023
617063,DEPT OF CITYWIDE ADMIN SVCS,External,1,Pending Classification-2,M2,Administration & Human Resources,P,Executive,10,60.91,Annual,Centre Street,TBD,Not required,11/21/23,2023
605618,HRA/DEPT OF SOCIAL SERVICES,Internal,1,Competitive-1,M1,Social Services,F,Experienced (non-manager),53057,61015,Annual,World Trade Center,40 hours per week,Hybrid,9/21/23,2023
527818,NYC HOUSING AUTHORITY,Internal,1,Competitive-1,M1,Building Operations & Maintenance,F,Experienced (non-manager),39.9,39.9,Hourly,Manhattan,TBD,Not required,5/12/22,2022
616468,HOUSING PRESERVATION & DVLPMNT,Internal,1,Competitive-1,M1,Constituent Services & Community Programs,F,Experienced (non-manager),85000,93807,Annual,Gold Street,TBD,Hybrid,11/22/23,2023
601174,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Competitive-1,M1,Constituent Services & Community Programs,F,Experienced (non-manager),58695,67499,Annual,28th Street,TBD,Hybrid,8/29/23,2023
606412,HRA/DEPT OF SOCIAL SERVICES,External,1,Competitive-1,M1,Administration & Human Resources,F,Experienced (non-manager),58700,173486,Annual,World Trade Center,40 hours per week,Hybrid,10/18/23,2023
591477,DEPT OF DESIGN & CONSTRUCTION,External,1,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),58682,134570,Annual,Queens,35 Hours Per Week,Not required,8/9/23,2023
615367,DEPT OF ENVIRONMENT PROTECTION,External,1,Competitive-1,M0,"Engineering, Architecture, & Planning",F,Manager,64922,173486,Annual,Harding Expressway,35 Hours Per Week,Not required,11/27/23,2023
551201,DEPT OF ENVIRONMENT PROTECTION,External,1,Competitive-1,M1,Building Operations & Maintenance,F,Experienced (non-manager),62.74,62.74,Hourly,Staten Islands,TBD,Hybrid,9/16/22,2022
598072,DEPT OF ENVIRONMENT PROTECTION,Internal,7,Competitive-1,1,"Technology, Data & Innovation",TBD,Entry-Level,56181,68034,Annual,Harding Expressway,35 Hours Per Week,Not required,8/13/23,2023
599614,DEPT OF ENVIRONMENT PROTECTION,External,1,Competitive-1,M1,"Technology, Data & Innovation",F,Experienced (non-manager),93288,130998,Annual,Corona,35 Hours Per Week,Not required,8/29/23,2023
588866,BOROUGH PRESIDENT-BRONX,Internal,1,Non-Competitive-5,1,Health,P,Entry-Level,35536,46104,Annual,Bronx,TBD,Hybrid,10/3/23,2023
602401,DEPARTMENT OF FINANCE,Internal,2,Competitive-1,M1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),61206,70387,Annual,Maiden Lane,40 hours per week,Hybrid,11/14/23,2023
614585,DEPT OF HEALTH/MENTAL HYGIENE,External,1,Non-Competitive-5,M1,Constituent Services & Community Programs,F,Experienced (non-manager),48612,76735,Annual,28th Street,TBD,Hybrid ,11/13/23,2023
610933,DEPT OF HEALTH/MENTAL HYGIENE,External,1,Competitive-1,M1,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),72603,76408,Annual,NYC - All Boroughs,TBD,Hybrid,11/21/23,2023
590389,DEPARTMENT OF TRANSPORTATION,Internal,1,Competitive-1,M1,"Technology, Data & Innovation ",F,Experienced (non-manager),89550,121653,Annual,Water Street,TBD,Not required,7/12/23,2023
611075,DEPARTMENT OF TRANSPORTATION,Internal,1,Competitive-1,M1,Building Operations & Maintenance,F,Experienced (non-manager),49403,69803,Annual,Queens,35 Hours Per Week,Hybrid,11/16/23,2023
555556,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Non-Competitive-5,M1,"Technology, Data & Innovation",F,Experienced (non-manager),84468,111003,Annual,Brooklyn,40 hours per week,Hybrid,10/25/22,2022
587272,DEPT. OF HOMELESS SERVICES,External,2,Competitive-1,M1,Constituent Services & Community Programs,F,Experienced (non-manager),44009,50610,Annual,Brooklyn,40 hours per week,Not required,11/2/23,2023
587032,DEPARTMENT FOR THE AGING,External,1,Competitive-1,M0,Constituent Services & Community Programs,F,Manager,110000,114000,Annual,Lafayette Street,TBD,Hybrid,6/15/23,2023
593629,FIRE DEPARTMENT,Internal,1,Competitive-1,M1,"Technology, Data & Innovation",F,Experienced (non-manager),108071,149651,Annual,Brooklyn,TBD,Not required,7/19/23,2023
545210,HRA/DEPT OF SOCIAL SERVICES,External,1,Competitive-1,M1,Administration & Human Resources,F,Experienced (non-manager),70611,81203,Annual,World Trade Center,TBD,Hybrid,8/30/22,2022
559712,HRA/DEPT OF SOCIAL SERVICES,Internal,1,Competitive-1,M0,Administration & Human Resources,F,Manager,120000,185000,Annual,World Trade Center,40 hours per week,Hybrid,11/7/22,2022
571149,DEPARTMENT OF TRANSPORTATION,Internal,1,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),51413,62260,Annual,Water Street,40 hours per week,Not required,2/2/23,2023
580562,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Non-Competitive-5,M1,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),82330,116104,Annual,Wards Island,35 Hours Per Week,Hybrid,3/28/23,2023
591592,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Competitive-1,M1,Administration & Human Resources,F,Experienced (non-manager),47418,69462,Annual,Parsons Boulevard,TBD,Hybrid,8/3/23,2023
610207,DEPT OF HEALTH/MENTAL HYGIENE,External,1,Non-Competitive-5,M1,Constituent Services & Community Programs,P,Experienced (non-manager),79.23,84.86,Hourly,47TH Street,TBD,Not required,10/10/23,2023
612415,BRONX DISTRICT ATTORNEY,Internal,2,Non-Competitive-5,M1,Legal Affairs,F,Experienced (non-manager),51500,51500,Annual,Bronx,TBD,Not required,11/14/23,2023
613333,DEPT OF HEALTH/MENTAL HYGIENE,External,1,Competitive-1,M1,Health,F,Experienced (non-manager),70611,90000,Annual,28th Street,TBD,Hybrid,11/14/23,2023
610023,HRA/DEPT OF SOCIAL SERVICES,Internal,1,Competitive-1,M1,Social Services,F,Experienced (non-manager),58695,80000,Annual,World Trade Center,35 Hours Per Week,Hybrid,10/6/23,2023
598100,DEPARTMENT OF TRANSPORTATION,External,1,Non-Competitive-5,M1,Constituent Services & Community Programs,F,Experienced (non-manager),59116,91768,Annual,Water Street,35 Hours Per Week,Hybrid,8/18/23,2023
602596,HRA/DEPT OF SOCIAL SERVICES,Internal,1,Competitive-1,M1,"Technology, Data & Innovation ",F,Experienced (non-manager),93288,107281,Annual,Metrotech,35 Hours Per Week,Not required,9/29/23,2023
612093,DEPT OF DESIGN & CONSTRUCTION,External,1,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),74041,85147,Annual,Queens,TBD,Not required,10/20/23,2023
616941,OFFICE OF THE COMPTROLLER,External,1,Competitive-1,1,Legal Affairs,P,Entry-Level,18,18,Hourly,Centre Street,TBD,Hybrid,11/21/23,2023
608362,OFFICE OF LABOR RELATIONS,External,1,Non-Competitive-5,M1,Constituent Services & Community Programs,F,Experienced (non-manager),82506,103548,Annual,Cortlandt Street,TBD,Hybrid,11/17/23,2023
614086,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Competitive-1,M1,Constituent Services & Community Programs,F,Experienced (non-manager),56971,63000,Annual,First Avenue,TBD,Hybrid,10/31/23,2023
607753,DEPARTMENT OF TRANSPORTATION,Internal,16,Competitive-1,M1,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),56076,73261,Annual,NYC - All Boroughs,40 hours per week,Hybrid,11/17/23,2023
588347,DEPARTMENT OF TRANSPORTATION,Internal,3,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),85463,118733,Annual,Water Street,40 hours per week,Not required,6/15/23,2023
592854,DEPARTMENT OF TRANSPORTATION,Internal,1,Competitive-1,M1,Administration & Human Resources,F,Experienced (non-manager),47418,69462,Annual,Queens,35 Hours Per Week,Hybrid,9/21/23,2023
604004,DISTRICT ATTORNEY RICHMOND COU,Internal,1,Non-Competitive-5,M1,Social Services,F,Experienced (non-manager),58000,65000,Annual,Staten Islands,TBD,Hybrid,9/29/23,2023
595817,DEPT OF ENVIRONMENT PROTECTION,External,1,Non-Competitive-5,M1,Communications & Intergovernmental Affairs,F,Experienced (non-manager),92301,121296,Annual,Corona,40 hours per week,Hybrid,8/13/23,2023
611326,DEPT OF HEALTH/MENTAL HYGIENE,External,1,Non-Competitive-5,M1,"Technology, Data & Innovation",F,Experienced (non-manager),100000,120000,Annual,28th Street,TBD,Not required,10/17/23,2023
611373,BRONX DISTRICT ATTORNEY,External,1,Pending Classification-2,M1,"Technology, Data & Innovation ",F,Experienced (non-manager),75000,110000,Annual,Bronx,TBD,Not required,10/14/23,2023
527295,DEPARTMENT OF CORRECTION,External,7,Competitive-1,1,Social Services,F,Entry-Level,51079,58741,Annual,Astoria,TBD,Hybrid,3/29/23,2023
614725,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Competitive-1,M1,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),49961,49961,Annual,NYC - All Boroughs,TBD,Hybrid,11/6/23,2023
599952,DEPT OF HEALTH/MENTAL HYGIENE,External,1,Non-Competitive-5,M1,Health,F,Experienced (non-manager),63952,81750,Annual,28th Street,TBD,Hybrid,9/22/23,2023
601769,MAYORS OFFICE OF CONTRACT SVCS,External,1,Non-Competitive-5,0,Legal Affairs,F,Student,15.5,18,Hourly,Greenwich Street,TBD,Hybrid,9/11/23,2023
600977,BRONX DISTRICT ATTORNEY,Internal,2,Non-Competitive-5,M1,Legal Affairs,F,Experienced (non-manager),60000,60000,Annual,Bronx,TBD,Not required,8/24/23,2023
528811,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Competitive-1,M0,"Engineering, Architecture, & Planning",F,Manager,53702,102568,Annual,Corona,TBD,Hybrid,7/26/22,2022
601273,DEPT OF HEALTH/MENTAL HYGIENE,External,26,Non-Competitive-5,0,Health,P,Student,15,15,Hourly,NYC - All Boroughs,TBD,Hybrid,9/11/23,2023
608866,DEPT OF HEALTH/MENTAL HYGIENE,External,1,Non-Competitive-5,M1,Health,F,Experienced (non-manager),41887,69709,Annual,26th Street,TBD,Hybrid,10/17/23,2023
595583,DEPT OF DESIGN & CONSTRUCTION,External,1,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),68202,78432,Annual,Queens,35 Hours Per Week,Not required,8/18/23,2023
611171,DEPT OF HEALTH/MENTAL HYGIENE,External,1,Competitive-1,M1,Constituent Services & Community Programs,F,Experienced (non-manager),51528,59257,Annual,28th Street,TBD,Hybrid,10/17/23,2023
601773,DEPT OF YOUTH & COMM DEV SRVS,Internal,1,Competitive-1,M1,Constituent Services & Community Programs,F,Experienced (non-manager),64749,134280,Annual,Lafayette Street,35 Hours Per Week,Hybrid,9/28/23,2023
605418,FIRE DEPARTMENT,External,1,Competitive-1,M1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),62470,80008,Annual,Brooklyn,TBD,Hybrid,11/14/23,2023
582218,HRA/DEPT OF SOCIAL SERVICES,External,1,Competitive-1,M0,Administration & Human Resources,F,Manager,58700,97159,Annual,Pearl Street,40 hours per week,Hybrid,4/5/23,2023
608868,DEPT OF HEALTH/MENTAL HYGIENE,External,1,Competitive-1,0,Administration & Human Resources,F,Student,61206,97919,Annual,26th Street,TBD,Hybrid,10/17/23,2023
569314,POLICE DEPARTMENT,Internal,2,Competitive-1,M1,Administration & Human Resources,F,Experienced (non-manager),65232,151810,Annual,Jamaica,TBD,Required,10/16/23,2023
604650,DEPT OF DESIGN & CONSTRUCTION,External,2,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),58682,134570,Annual,Queens,35 Hours Per Week,Not required,9/18/23,2023
511310,FINANCIAL INFO SVCS AGENCY,External,1,Non-Competitive-5,M1,"Technology, Data & Innovation",F,Experienced (non-manager),75000,135000,Annual,Manhattan,40 hours per week,Not required,2/10/22,2022
583463,HRA/DEPT OF SOCIAL SERVICES,Internal,1,Non-Competitive-5,M1,Administration & Human Resources,F,Experienced (non-manager),75000,120000,Annual,Beaver Street,35 Hours Per Week,Not required,5/23/23,2023
617056,OFFICE OF THE COMPTROLLER,Internal,1,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),95000,105000,Annual,Centre Street,TBD,Not required,11/21/23,2023
567666,DEPT OF DESIGN & CONSTRUCTION,Internal,1,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),57078,65640,Annual,Queens,35 Hours Per Week,Hybrid,7/17/23,2023
582551,DEPARTMENT OF TRANSPORTATION,External,1,Non-Competitive-5,0,"Engineering, Architecture, & Planning",F,Student,15,17.5,Hourly,Water Street,35 Hours Per Week,Hybrid,4/12/23,2023
526173,DEPARTMENT OF CORRECTION,External,1,Non-Competitive-5,M1,Legal Affairs,F,Experienced (non-manager),83158,95632,Annual,Astoria,TBD,Hybrid,3/24/22,2022
597089,DEPARTMENT OF TRANSPORTATION,Internal,3,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),62370,93587,Annual,LIC,35 Hours Per Week,Not required,9/14/23,2023
605289,DEPT OF YOUTH & COMM DEV SRVS,Internal,1,Non-Competitive-5,1,Constituent Services & Community Programs,P,Entry-Level,17.0192,22.0805,Hourly,Lafayette Street,20 Hours Per Week,Hybrid,9/28/23,2023
574823,DEPARTMENT OF TRANSPORTATION,Internal,1,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),90114,122168,Annual,Water Street,35 Hours Per Week,Not required,2/22/23,2023
612922,OFFICE OF THE COMPTROLLER,External,1,Non-Competitive-5,M1,Legal Affairs,F,Experienced (non-manager),70000,80000,Annual,Centre Street,TBD,New York City residency is required.,10/24/23,2023
607222,DEPARTMENT OF TRANSPORTATION,Internal,1,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),74041,85147,Annual,Garrison Avenue,TBD,Not required,11/17/23,2023
596003,HRA/DEPT OF SOCIAL SERVICES,Internal,1,Competitive-1,M1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),84451,113550,Annual,World Trade Center,40 hours per week,Hybrid,8/1/23,2023
601007,DEPT OF HEALTH/MENTAL HYGIENE,External,1,Competitive-1,M1,Health,F,Experienced (non-manager),43728,51500,Annual,NYC - All Boroughs,TBD,Hybrid,11/1/23,2023
592882,HRA/DEPT OF SOCIAL SERVICES,External,1,Competitive-1,1,Administration & Human Resources,TBD,Entry-Level,35895,41279,Annual,Bronx,40 hours per week,Hybrid,8/21/23,2023
589440,HRA/DEPT OF SOCIAL SERVICES,External,1,Competitive-1,M0,Administration & Human Resources,F,Manager,102292,149310,Annual,World Trade Center,40 hours per week,Hybrid,8/25/23,2023
600367,OFFICE OF THE COMPTROLLER,Internal,1,Non-Competitive-5,M0,Legal Affairs,F,Manager,100000,120000,Annual,Centre Street,TBD,Not required,9/17/23,2023
599684,ADMIN FOR CHILDREN'S SVCS,External,1,Non-Competitive-5,M1,Social Services,F,Experienced (non-manager),59116,91768,Annual,William Street,TBD,Hybrid,11/22/23,2023
599608,DEPT OF ENVIRONMENT PROTECTION,External,1,Competitive-1,1,Building Operations & Maintenance,F,Entry-Level,35.21,40.97,Hourly,Staten Islands,TBD,Not required,8/24/23,2023
577992,DEPARTMENT OF TRANSPORTATION,External,2,Competitive-1,M1,Constituent Services & Community Programs,F,Experienced (non-manager),65208,95993,Annual,Water Street,35 Hours Per Week,Hybrid,3/21/23,2023
601510,DEPT OF HEALTH/MENTAL HYGIENE,External,1,Competitive-1,M1,Health,F,Experienced (non-manager),58695,89699,Annual,Worth Street.,TBD,Hybrid,9/1/23,2023
606796,DEPARTMENT OF TRANSPORTATION,Internal,1,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),80091,116999,Annual,Water Street,35 Hours Per Week,Hybrid,10/18/23,2023
611455,BRONX DISTRICT ATTORNEY,Internal,10,Non-Competitive-5,M1,Constituent Services & Community Programs,F,Experienced (non-manager),50000,50000,Annual,Bronx,TBD,Not required,10/16/23,2023
594652,HRA/DEPT OF SOCIAL SERVICES,External,1,Competitive-1,M1,Administration & Human Resources,TBD,Experienced (non-manager),53057,77124,Annual,World Trade Center,40 hours per week,Hybrid,7/27/23,2023
606921,HRA/DEPT OF SOCIAL SERVICES,External,2,Competitive-1,M1,Social Services,F,Experienced (non-manager),39763,64420,Annual,Livingston Street,TBD,Hybrid,10/30/23,2023
558364,DEPT OF ENVIRONMENT PROTECTION,External,1,Competitive-1,M1,"Policy, Research & Analysis",F,Experienced (non-manager),65877,93984,Annual,Brooklyn,35 Hours Per Week,Hybrid,11/15/22,2022
608877,DEPT OF HEALTH/MENTAL HYGIENE,External,1,Non-Competitive-5,M1,Health,F,Experienced (non-manager),76872,99134,Annual,First Avenue,TBD,Not required,10/17/23,2023
590074,HRA/DEPT OF SOCIAL SERVICES,Internal,1,Competitive-1,M1,Social Services,F,Experienced (non-manager),66430,76394,Annual,126Th Street,40 hours per week,Not required,6/13/23,2023
606157,HRA/DEPT OF SOCIAL SERVICES,Internal,1,Competitive-1,M1,Administration & Human Resources,F,Experienced (non-manager),84451,90363,Annual,World Trade Center,40 hours per week,Hybrid,10/11/23,2023
554120,DEPT OF ENVIRONMENT PROTECTION,External,8,Competitive-1,M2,"Engineering, Architecture, & Planning",F,Executive,57078,85646,Annual,Harding Expressway,TBD,Not required,10/5/22,2022
588001,HRA/DEPT OF SOCIAL SERVICES,External,1,Competitive-1,M1,"Policy, Research & Analysis",F,Experienced (non-manager),94715,136260,Annual,Pearl Street,40 hours per week,Hybrid,7/11/23,2023
589711,BRONX DISTRICT ATTORNEY,Internal,4,Non-Competitive-5,M1,Communications & Intergovernmental Affairs,F,Experienced (non-manager),59000,59000,Annual,Bronx,TBD,Not required,6/8/23,2023
554199,DEPT OF ENVIRONMENT PROTECTION,External,2,Non-Competitive-5,M1,Constituent Services & Community Programs,F,Experienced (non-manager),54100,83981,Annual,Corona,35 Hours Per Week,Hybrid,10/11/22,2022
602311,DEPT OF DESIGN & CONSTRUCTION,Internal,1,Competitive-1,M0,"Engineering, Architecture, & Planning",F,Manager,81571,93807,Annual,Queens,35 Hours Per Week,Not required,11/16/23,2023
585882,DEPT OF ENVIRONMENT PROTECTION,External,3,Competitive-1,M1,"Policy, Research & Analysis",TBD,Experienced (non-manager),58700,161534,Annual,Harding Expressway,35 Hours Per Week,Not required,5/16/23,2023
582805,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Competitive-1,M0,Communications & Intergovernmental Affairs,F,Manager,80931,208826,Annual,Hollow Road,TBD,Not required,4/23/23,2023
584485,DEPARTMENT OF TRANSPORTATION,Internal,1,Competitive-1,M1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),53057,77124,Annual,Water Street,35 Hours Per Week,Hybrid,4/28/23,2023
531327,NYC HOUSING AUTHORITY,External,1,Competitive-1,M1,Administration & Human Resources,F,Experienced (non-manager),39098,63367,Annual,Manhattan,TBD,Not required,5/19/22,2022
598857,BRONX DISTRICT ATTORNEY,External,2,Non-Competitive-5,M1,Constituent Services & Community Programs,F,Experienced (non-manager),62215,62215,Annual,Bronx,TBD,Not required,8/16/23,2023
550309,DEPT OF ENVIRONMENT PROTECTION,External,2,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),87792,87792,Annual,Wards Island,40 hours per week,Not required,9/10/22,2022
586628,TAXI & LIMOUSINE COMMISSION,External,1,Competitive-1,M1,Constituent Services & Community Programs,F,Experienced (non-manager),67665,100150,Annual,Beaver Street,TBD,Hybrid,5/12/23,2023
593595,DEPT OF DESIGN & CONSTRUCTION,External,1,Non-Competitive-5,M1,Constituent Services & Community Programs,F,Experienced (non-manager),59116,84414,Annual,Queens,35 Hours Per Week,Hybrid,11/14/23,2023
589235,NYC HOUSING AUTHORITY,External,1,Non-Competitive-5,M1,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),53956,73140,Annual,Office Of The Inspector Genera,TBD,Not required,9/25/23,2023
572619,DEPT OF ENVIRONMENT PROTECTION,External,1,Competitive-1,M0,"Public Safety, Inspections, & Enforcement",F,Manager,64922,173486,Annual,Harding Expressway,35 Hours Per Week,Not required,3/28/23,2023
606620,DEPT OF DESIGN & CONSTRUCTION,Internal,1,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),74041,85147,Annual,Queens,35 Hours Per Week,Not required,9/22/23,2023
572053,DEPARTMENT OF TRANSPORTATION,Internal,1,Competitive-1,M1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),67757,98128,Annual,Water Street,35 Hours Per Week,Not required,2/6/23,2023
617211,DISTRICT ATTORNEY RICHMOND COU,Internal,1,Competitive-1,M1,"Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),75877,83671,Annual,Staten Islands,TBD,Hybrid,11/22/23,2023
607208,DEPT OF CITYWIDE ADMIN SVCS,External,1,Non-Competitive-5,M1,"Finance, Accounting, & Procurement",F,Experienced (non-manager),82506,94882,Annual,Centre Street,TBD,Hybrid,11/3/23,2023
601401,DEPT OF HEALTH/MENTAL HYGIENE,External,1,Non-Competitive-5,M1,Constituent Services & Community Programs,F,Experienced (non-manager),59116,69826,Annual,Bronx,TBD,Hybrid,9/21/23,2023
615081,HRA/DEPT OF SOCIAL SERVICES,External,1,Competitive-1,M1,Social Services,F,Experienced (non-manager),43777,64897,Annual,World Trade Center,40 hours per week,Hybrid,11/8/23,2023
589180,DEPT OF HEALTH/MENTAL HYGIENE,External,1,Non-Competitive-5,1,Health,F,Entry-Level,22.9267,38.1549,Hourly,26th Street,TBD,Hybrid,6/13/23,2023
613254,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Non-Competitive-5,1,Constituent Services & Community Programs,F,Entry-Level,70087,70087,Annual,First Avenue,TBD,Hybrid,10/25/23,2023
